species,genus,family,species.relative,genus.relative
Culaea inconstans,Culaea,Gasterosteidae
Cycleptus elongatus,Cycleptus,Catostomidae
Cycleptus meridionalis,Cycleptus,Catostomidae
Cyprinella analostana,Cyprinella,Cyprinidae
Cyprinella caerulea,Cyprinella,Cyprinidae
Cyprinella callisema,Cyprinella,Cyprinidae
Cyprinella callistia,Cyprinella,Cyprinidae
Cyprinella callitaenia,Cyprinella,Cyprinidae
Cyprinella camura,Cyprinella,Cyprinidae
Cyprinella chloristia,Cyprinella,Cyprinidae
Cyprinella formosa,Cyprinella,Cyprinidae
Cyprinella galactura,Cyprinella,Cyprinidae
Cyprinella gibbsi,Cyprinella,Cyprinidae
Cyprinella labrosa,Cyprinella,Cyprinidae
Cyprinella leedsi,Cyprinella,Cyprinidae
Cyprinella lepida,Cyprinella,Cyprinidae
Cyprinella lutrensis,Cyprinella,Cyprinidae
Cyprinella monacha,Cyprinella,Cyprinidae
Cyprinella nivea,Cyprinella,Cyprinidae
Cyprinella proserpina,Cyprinella,Cyprinidae
Cyprinella pyrrhomelas,Cyprinella,Cyprinidae
Cyprinella spiloptera,Cyprinella,Cyprinidae
Cyprinella trichroistia,Cyprinella,Cyprinidae
Cyprinella venusta,Cyprinella,Cyprinidae
Cyprinella whipplei,Cyprinella,Cyprinidae
Cyprinella xaenura,Cyprinella,Cyprinidae
Cyprinella zanema,Cyprinella,Cyprinidae
Cyprinodon arcuatus,Cyprinodon,Cyprinodontidae
Cyprinodon bovinus,Cyprinodon,Cyprinodontidae
Cyprinodon diabolis,Cyprinodon,Cyprinodontidae
Cyprinodon elegans,Cyprinodon,Cyprinodontidae
Cyprinodon eximius,Cyprinodon,Cyprinodontidae
Cyprinodon macularius,Cyprinodon,Cyprinodontidae
Cyprinodon nevadensis,Cyprinodon,Cyprinodontidae
Cyprinodon pecosensis,Cyprinodon,Cyprinodontidae
Cyprinodon radiosus,Cyprinodon,Cyprinodontidae
Cyprinodon rubrofluviatilis,Cyprinodon,Cyprinodontidae
Cyprinodon salinus,Cyprinodon,Cyprinodontidae
Cyprinodon tularosa,Cyprinodon,Cyprinodontidae
Dallia pectoralis,Dallia,Umbridae
Deltistes luxatus,Deltistes,Catostomidae
Dionda argentosa,Dionda,Cyprinidae
Dionda diaboli,Dionda,Cyprinidae
Dionda episcopa,Dionda,Cyprinidae
Dionda nigrotaeniata,Dionda,Cyprinidae
Dionda serena,Dionda,Cyprinidae
Dorosoma cepedianum,Dorosoma,Clupeidae
Dorosoma petenense,Dorosoma,Clupeidae
Elassoma alabamae,Elassoma,Elassomatidae
Elassoma boehlkei,Elassoma,Elassomatidae
Elassoma evergladei,Elassoma,Elassomatidae
Elassoma gilberti,Elassoma,Elassomatidae
Elassoma okatie,Elassoma,Elassomatidae
Elassoma okefenokee,Elassoma,Elassomatidae
Elassoma zonatum,Elassoma,Elassomatidae
Eleotris amblyopsis,Eleotris,Eleotridae
Empetrichthys latos,Empetrichthys,Goodeidae
Empetrichthys merriami,Empetrichthys,Goodeidae
Enneacanthus chaetodon,Enneacanthus,Centrarchidae
Enneacanthus gloriosus,Enneacanthus,Centrarchidae
Enneacanthus obesus,Enneacanthus,Centrarchidae
Eremichthys acros,Eremichthys,Cyprinidae
Ericymba amplamala,Ericymba,Cyprinidae
Erimystax cahni,Erimystax,Cyprinidae
Erimystax dissimilis,Erimystax,Cyprinidae
Erimystax harryi,Erimystax,Cyprinidae
Erimystax insignis,Erimystax,Cyprinidae
Erimyzon oblongus,Erimyzon,Catostomidae
Erimyzon sucetta,Erimyzon,Catostomidae
Erimyzon tenuis,Erimyzon,Catostomidae
Esox americanus,Esox,Esocidae
Esox lucius,Esox,Esocidae
Esox masquinongy,Esox,Esocidae
Etheostoma acuticeps,Etheostoma,Percidae
Etheostoma akatulo,Etheostoma,Percidae
Etheostoma aquali,Etheostoma,Percidae
Etheostoma artesiae,Etheostoma,Percidae
Etheostoma asprigene,Etheostoma,Percidae
Etheostoma baileyi,Etheostoma,Percidae
Etheostoma barbouri,Etheostoma,Percidae
Etheostoma barrenense,Etheostoma,Percidae
Etheostoma basilare,Etheostoma,Percidae
Etheostoma bellator,Etheostoma,Percidae
Etheostoma bellum,Etheostoma,Percidae
Etheostoma bison,Etheostoma,Percidae
Etheostoma blennioides,Etheostoma,Percidae
Etheostoma blennius,Etheostoma,Percidae
Etheostoma boschungi,Etheostoma,Percidae
Etheostoma brevirostrum,Etheostoma,Percidae
Etheostoma brevispinum,Etheostoma,Percidae
Etheostoma burri,Etheostoma,Percidae
Etheostoma caeruleum,Etheostoma,Percidae
Etheostoma camurum,Etheostoma,Percidae
Etheostoma cervus,Etheostoma,Percidae
Etheostoma chermocki,Etheostoma,Percidae
Etheostoma chienense,Etheostoma,Percidae
Etheostoma chlorobranchium,Etheostoma,Percidae
Etheostoma chlorosomum,Etheostoma,Percidae
Etheostoma chuckwachatte,Etheostoma,Percidae
Etheostoma cinereum,Etheostoma,Percidae
Etheostoma collettei,Etheostoma,Percidae
Etheostoma collis,Etheostoma,Percidae
Etheostoma colorosum,Etheostoma,Percidae
Etheostoma coosae,Etheostoma,Percidae
Etheostoma corona,Etheostoma,Percidae
Etheostoma cragini,Etheostoma,Percidae
Etheostoma crossopterum,Etheostoma,Percidae
Etheostoma davisoni,Etheostoma,Percidae
Etheostoma denoncourti,Etheostoma,Percidae
Etheostoma derivativum,Etheostoma,Percidae
Etheostoma ditrema,Etheostoma,Percidae
Etheostoma douglasi,Etheostoma,Percidae
Etheostoma duryi,Etheostoma,Percidae
Etheostoma edwini,Etheostoma,Percidae
Etheostoma etnieri,Etheostoma,Percidae
Etheostoma etowahae,Etheostoma,Percidae
Etheostoma euzonum,Etheostoma,Percidae
Etheostoma exile,Etheostoma,Percidae
Etheostoma flabellare,Etheostoma,Percidae
Etheostoma flavum,Etheostoma,Percidae
Etheostoma fonticola,Etheostoma,Percidae
Etheostoma forbesi,Etheostoma,Percidae
Etheostoma fragi,Etheostoma,Percidae
Etheostoma fricksium,Etheostoma,Percidae
Etheostoma fusiforme,Etheostoma,Percidae
Etheostoma gracile,Etheostoma,Percidae
Etheostoma grahami,Etheostoma,Percidae
Etheostoma gutselli,Etheostoma,Percidae
Etheostoma histrio,Etheostoma,Percidae
Etheostoma hopkinsi,Etheostoma,Percidae
Etheostoma inscriptum,Etheostoma,Percidae
Etheostoma jessiae,Etheostoma,Percidae
Etheostoma jordani,Etheostoma,Percidae
Etheostoma juliae,Etheostoma,Percidae
Etheostoma kanawhae,Etheostoma,Percidae
Etheostoma kantuckeense,Etheostoma,Percidae
Etheostoma kennicotti,Etheostoma,Percidae
Etheostoma lachneri,Etheostoma,Percidae
Etheostoma lawrencei,Etheostoma,Percidae
Etheostoma lemniscatum,Etheostoma,Percidae
Etheostoma lepidum,Etheostoma,Percidae
Etheostoma longimanum,Etheostoma,Percidae
Etheostoma luteovinctum,Etheostoma,Percidae
Etheostoma lynceum,Etheostoma,Percidae
Etheostoma maculatum,Etheostoma,Percidae
Etheostoma mariae,Etheostoma,Percidae
Etheostoma marmorpinnum,Etheostoma,Percidae
Etheostoma meadiae,Etheostoma,Percidae
Etheostoma microlepidus,Etheostoma,Percidae
Etheostoma microperca,Etheostoma,Percidae
Etheostoma moorei,Etheostoma,Percidae
Etheostoma neopterum,Etheostoma,Percidae
Etheostoma nianguae,Etheostoma,Percidae
Etheostoma nigripinne,Etheostoma,Percidae
Etheostoma nigrum,Etheostoma,Percidae
Etheostoma nuchale,Etheostoma,Percidae
Etheostoma obeyense,Etheostoma,Percidae
Etheostoma okaloosae,Etheostoma,Percidae
Etheostoma olivaceum,Etheostoma,Percidae
Etheostoma olmstedi,Etheostoma,Percidae
Etheostoma oophylax,Etheostoma,Percidae
Etheostoma osburni,Etheostoma,Percidae
Etheostoma pallididorsum,Etheostoma,Percidae
Etheostoma parvipinne,Etheostoma,Percidae
Etheostoma percnurum,Etheostoma,Percidae
Etheostoma perlongum,Etheostoma,Percidae
Etheostoma phytophilum,Etheostoma,Percidae
Etheostoma podostemone,Etheostoma,Percidae
Etheostoma proeliare,Etheostoma,Percidae
Etheostoma pseudovulatum,Etheostoma,Percidae
Etheostoma punctulatum,Etheostoma,Percidae
Etheostoma pyrrhogaster,Etheostoma,Percidae
Etheostoma radiosum,Etheostoma,Percidae
Etheostoma rafinesquei,Etheostoma,Percidae
Etheostoma ramseyi,Etheostoma,Percidae
Etheostoma raneyi,Etheostoma,Percidae
Etheostoma rubrum,Etheostoma,Percidae
Etheostoma rufilineatum,Etheostoma,Percidae
Etheostoma rupestre,Etheostoma,Percidae
Etheostoma sagitta,Etheostoma,Percidae
Etheostoma sanguifluum,Etheostoma,Percidae
Etheostoma scotti,Etheostoma,Percidae
Etheostoma sellare,Etheostoma,Percidae
Etheostoma serrifer,Etheostoma,Percidae
Etheostoma simoterum,Etheostoma,Percidae
Etheostoma sitikuense,Etheostoma,Percidae
Etheostoma smithi,Etheostoma,Percidae
Etheostoma spectabile,Etheostoma,Percidae
Etheostoma squamiceps,Etheostoma,Percidae
Etheostoma stigmaeum,Etheostoma,Percidae
Etheostoma striatulum,Etheostoma,Percidae
Etheostoma susanae,Etheostoma,Percidae
Etheostoma swaini,Etheostoma,Percidae
Etheostoma swannanoa,Etheostoma,Percidae
Etheostoma tallapoosae,Etheostoma,Percidae
Etheostoma tecumsehi,Etheostoma,Percidae
Etheostoma tetrazonum,Etheostoma,Percidae
Etheostoma thalassinum,Etheostoma,Percidae
Etheostoma tippecanoe,Etheostoma,Percidae
Etheostoma trisella,Etheostoma,Percidae
Etheostoma tuscumbia,Etheostoma,Percidae
Etheostoma uniporum,Etheostoma,Percidae
Etheostoma variatum,Etheostoma,Percidae
Etheostoma virgatum,Etheostoma,Percidae
Etheostoma vulneratum,Etheostoma,Percidae
Etheostoma wapiti,Etheostoma,Percidae
Etheostoma whipplei,Etheostoma,Percidae
Etheostoma zonale,Etheostoma,Percidae
Etheostoma zonifer,Etheostoma,Percidae
Etheostoma zonistium,Etheostoma,Percidae
Exoglossum laurae,Exoglossum,Cyprinidae
Exoglossum maxillingua,Exoglossum,Cyprinidae
Forbesichthys agassizii,Forbesichthys,Amblyopsidae
Fundulus albolineatus,Fundulus,Fundulidae
Fundulus bifax,Fundulus,Fundulidae
Fundulus blairae,Fundulus,Fundulidae
Fundulus catenatus,Fundulus,Fundulidae
Fundulus chrysotus,Fundulus,Fundulidae
Fundulus cingulatus,Fundulus,Fundulidae
Fundulus dispar,Fundulus,Fundulidae
Fundulus escambiae,Fundulus,Fundulidae
Fundulus euryzonus,Fundulus,Fundulidae
Fundulus jenkinsi,Fundulus,Fundulidae
Fundulus julisia,Fundulus,Fundulidae
Fundulus kansae,Fundulus,Fundulidae
Fundulus lineolatus,Fundulus,Fundulidae
Fundulus notatus,Fundulus,Fundulidae
Fundulus nottii,Fundulus,Fundulidae
Fundulus olivaceus,Fundulus,Fundulidae
Fundulus rubrifrons,Fundulus,Fundulidae
